model,threshold,has_detection_head,n_event_traces,n_noise_traces,true_pos,false_neg,false_pos,true_neg,precision,recall,F1,matthews_corr,iou_mean_on_true_pos,start_time_mae_seconds,end_time_mae_seconds,boxes_per_trace_mean
EQT-RoSE,0.05,True,32374,23526,32228,146,9347,14179,0.7752,0.9955,0.8716,0.6765,0.6242282061048183,4.9044882157151255,20.691534978516774,1.7764839430224468
EQT-RoSE,0.1,True,32374,23526,32228,146,5494,18032,0.8544,0.9955,0.9195,0.8030,0.6241583061333147,4.904968737905154,20.69369533302675,1.7434179208319602
EQT-RoSE,0.2,True,32374,23526,32228,146,2645,20881,0.9242,0.9955,0.9585,0.9000,0.6240792880377001,4.9054976549047025,20.695744456803297,1.7259511516349921
EQT-RoSE,0.3,True,32374,23526,32228,146,1361,22165,0.9595,0.9955,0.9772,0.9453,0.6239406589646708,4.906486440878813,20.70000404960807,1.7150756160972573
EQT-RoSE,0.5,True,32374,23526,32226,148,268,23258,0.9918,0.9954,0.9936,0.9847,0.623457403088102,4.90748202025708,20.708538378402267,1.661320443809733
EQT-RoSE,0.7,True,32374,23526,32094,280,36,23490,0.9989,0.9914,0.9951,0.9885,0.6243265665460037,4.847010689209698,20.565931417545805,1.4565161668314475
PhaseNet-RoSE,0.05,False,32374,23526,0,0,14719,8807,,,,,,,,
PhaseNet-RoSE,0.1,False,32374,23526,0,0,9318,14208,,,,,,,,
PhaseNet-RoSE,0.2,False,32374,23526,0,0,4838,18688,,,,,,,,
PhaseNet-RoSE,0.3,False,32374,23526,0,0,2659,20867,,,,,,,,
PhaseNet-RoSE,0.5,False,32374,23526,0,0,768,22758,,,,,,,,
PhaseNet-RoSE,0.7,False,32374,23526,0,0,169,23357,,,,,,,,
EQT-instance,0.05,True,32374,23526,29268,3106,2883,20643,0.9103,0.9041,0.9072,0.7805,0.7224663821251751,2.505914161448141,9.274678032615785,1.4323849280456993
EQT-instance,0.1,True,32374,23526,27190,5184,1822,21704,0.9372,0.8399,0.8859,0.7534,0.7289277422265232,2.1476299820848337,9.361110252480898,1.1094510967080449
EQT-instance,0.2,True,32374,23526,23363,9011,1048,22478,0.9571,0.7217,0.8229,0.6740,0.7252810209425499,1.8606432106097814,9.602795319060773,0.8600095206708411
EQT-instance,0.3,True,32374,23526,20176,12198,696,22830,0.9667,0.6232,0.7578,0.6059,0.7190891099198016,1.668545119506554,9.684105433366941,0.7200922772712293
EQT-instance,0.5,True,32374,23526,14719,17655,326,23200,0.9783,0.4547,0.6208,0.4907,0.7145896676497651,1.2705230857235985,9.10323167535854,0.5034603976710974
EQT-instance,0.7,True,32374,23526,10001,22373,119,23407,0.9882,0.3089,0.4707,0.3896,0.7137509225293882,0.8071538886746988,7.910238759759035,0.3313925812003369
PhaseNet-instance,0.05,False,32374,23526,0,0,5513,18013,,,,,,,,
PhaseNet-instance,0.1,False,32374,23526,0,0,2756,20770,,,,,,,,
PhaseNet-instance,0.2,False,32374,23526,0,0,1238,22288,,,,,,,,
PhaseNet-instance,0.3,False,32374,23526,0,0,701,22825,,,,,,,,
PhaseNet-instance,0.5,False,32374,23526,0,0,244,23282,,,,,,,,
PhaseNet-instance,0.7,False,32374,23526,0,0,80,23446,,,,,,,,
EQT-ethz,0.05,True,32374,23526,30982,1392,9717,13809,0.7612,0.9570,0.8480,0.6036,0.5616354792611573,5.714675175841221,10.276428286731365,1.9966311472408365
EQT-ethz,0.1,True,32374,23526,27776,4598,7246,16280,0.7931,0.8580,0.8243,0.5613,0.5783332689235139,4.9557991863473605,10.081331236481647,1.2804203742356
EQT-ethz,0.2,True,32374,23526,21764,10610,5093,18433,0.8104,0.6723,0.7349,0.4504,0.5878911206601147,3.895126375660474,10.303974589398331,0.8343037093998316
EQT-ethz,0.3,True,32374,23526,16451,15923,3759,19767,0.8140,0.5082,0.6257,0.3580,0.5858297213038988,2.856023540065779,10.690442334205411,0.5937969167673661
EQT-ethz,0.5,True,32374,23526,10132,22242,1879,21647,0.8436,0.3130,0.4566,0.2802,0.5667715441296094,1.5573188228318162,11.039084691303307,0.35629279724632906
EQT-ethz,0.7,True,32374,23526,5657,26717,640,22886,0.8984,0.1747,0.2926,0.2304,0.5355523758959033,0.7759507138560688,10.008726504189044,0.2006298289941045
PhaseNet-ethz,0.05,False,32374,23526,0,0,7510,16016,,,,,,,,
PhaseNet-ethz,0.1,False,32374,23526,0,0,4435,19091,,,,,,,,
PhaseNet-ethz,0.2,False,32374,23526,0,0,2229,21297,,,,,,,,
PhaseNet-ethz,0.3,False,32374,23526,0,0,1371,22155,,,,,,,,
PhaseNet-ethz,0.5,False,32374,23526,0,0,568,22958,,,,,,,,
PhaseNet-ethz,0.7,False,32374,23526,0,0,202,23324,,,,,,,,
EQT-stead,0.05,True,32374,23526,27063,5311,6984,16542,0.7949,0.8359,0.8149,0.5454,0.731153877143759,3.2763751858539596,8.870377277723948,1.5661869713281336
EQT-stead,0.1,True,32374,23526,26042,6332,601,22925,0.9774,0.8044,0.8825,0.7699,0.7385995446678769,3.1898918876697295,8.81382809504869,1.3159031821011389
EQT-stead,0.2,True,32374,23526,24928,7446,380,23146,0.9850,0.7700,0.8643,0.7477,0.7419099513570088,3.097224488253271,8.838045393515424,1.1298473030868945
EQT-stead,0.3,True,32374,23526,23997,8377,296,23230,0.9878,0.7412,0.8469,0.7257,0.7445600686017295,2.963418965325661,8.831993875390644,1.0296605514665496
EQT-stead,0.5,True,32374,23526,22793,9581,168,23358,0.9927,0.7041,0.8238,0.6994,0.7491860613005736,2.7507813326190353,8.746865296555688,0.9316342597678421
EQT-stead,0.7,True,32374,23526,21072,11302,64,23462,0.9970,0.6509,0.7876,0.6599,0.7571536262867797,2.380822764499121,8.460114397358126,0.8265407008678458
PhaseNet-stead,0.05,False,32374,23526,0,0,1661,21865,,,,,,,,
PhaseNet-stead,0.1,False,32374,23526,0,0,1147,22379,,,,,,,,
PhaseNet-stead,0.2,False,32374,23526,0,0,677,22849,,,,,,,,
PhaseNet-stead,0.3,False,32374,23526,0,0,471,23055,,,,,,,,
PhaseNet-stead,0.5,False,32374,23526,0,0,205,23321,,,,,,,,
PhaseNet-stead,0.7,False,32374,23526,0,0,72,23454,,,,,,,,
RED-PAN-60s,0.05,True,32374,23526,30648,1726,6099,17427,0.8340,0.9467,0.8868,0.7151,0.43038491316590466,0.8216888849349927,16.098276117013242,2.0344208868871068
RED-PAN-60s,0.1,True,32374,23526,30058,2316,3692,19834,0.8906,0.9285,0.9091,0.7788,0.42575378437479316,0.6656162379565587,16.28960572677264,1.6490534256106046
RED-PAN-60s,0.2,True,32374,23526,29283,3091,1323,22203,0.9568,0.9045,0.9299,0.8414,0.41906354290448505,0.5601165751081806,16.555998789985573,1.3223113259365045
RED-PAN-60s,0.3,True,32374,23526,28756,3618,713,22813,0.9758,0.8882,0.9300,0.8484,0.414540646129462,0.5424757473345319,16.721100358782454,1.2312424475447654
RED-PAN-60s,0.5,True,32374,23526,27607,4767,308,23218,0.9890,0.8528,0.9158,0.8291,0.400731396439739,0.6969662708234174,17.010110203928864,1.1357794133802044
