model,phase,threshold,n_matched,MAE_seconds,median_residual_seconds,std_seconds,MAD_lower_iqr_over_2,MAD_upper_0p6745_std,RMSE_seconds,IQR_seconds
RED-PAN-60s,P,0.3,20540,0.0707,+0.0065,0.1215,0.0345,0.0820,0.1217,0.0690
RED-PAN-60s,S,0.3,20017,0.0849,+0.0025,0.1420,0.0492,0.0958,0.1420,0.0984
EQT-RoSE,P,0.3,19882,0.0852,-0.0290,0.1194,0.0447,0.0805,0.1228,0.0895
EQT-RoSE,S,0.3,17412,0.1049,+0.0024,0.1493,0.0702,0.1007,0.1493,0.1405
PhaseNet-RoSE,P,0.3,20624,0.0737,-0.0090,0.1197,0.0358,0.0807,0.1200,0.0716
PhaseNet-RoSE,S,0.3,20080,0.0971,-0.0080,0.1465,0.0590,0.0988,0.1467,0.1180
EQT-instance,P,0.3,19347,0.1030,-0.0326,0.1433,0.0558,0.0966,0.1469,0.1115
EQT-instance,S,0.3,10706,0.1281,-0.0525,0.1590,0.0843,0.1072,0.1675,0.1685
PhaseNet-instance,P,0.3,19451,0.1011,-0.0446,0.1365,0.0502,0.0921,0.1436,0.1005
PhaseNet-instance,S,0.3,10850,0.1359,-0.0890,0.1451,0.0698,0.0979,0.1702,0.1396
EQT-ethz,P,0.3,17512,0.1028,-0.0255,0.1409,0.0665,0.0950,0.1432,0.1330
EQT-ethz,S,0.3,11733,0.1256,-0.0196,0.1647,0.0920,0.1111,0.1659,0.1840
PhaseNet-ethz,P,0.3,16226,0.0794,-0.0075,0.1239,0.0427,0.0836,0.1241,0.0855
PhaseNet-ethz,S,0.3,9005,0.0996,-0.0295,0.1351,0.0613,0.0911,0.1383,0.1225
EQT-stead,P,0.3,15088,0.0835,-0.0290,0.1189,0.0438,0.0802,0.1224,0.0876
EQT-stead,S,0.3,16179,0.1241,-0.0385,0.1626,0.0777,0.1097,0.1671,0.1554
PhaseNet-stead,P,0.3,10941,0.0774,-0.0356,0.1085,0.0368,0.0732,0.1142,0.0735
PhaseNet-stead,S,0.3,19185,0.1217,-0.0490,0.1566,0.0707,0.1056,0.1641,0.1415
